energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.93,0.307,126.039,0.0396,1.17e-05,0.0,0.492,175603,-3.826,0.431,Scars That I'm Hiding (feat. Anders Fridén of In Flames),From Ashes to New,https://open.spotify.com/track/0UOtF2ojhKGYEjvZ28ZA6d,0UOtF2ojhKGYEjvZ28ZA6d,Angry
0.798,0.338,105.01,0.0285,0.00412,0.0,0.596,199342,-4.63,0.459,Lost,Linkin Park,https://open.spotify.com/track/3RQHAFkEHiFHQ7qmMpKRdv,3RQHAFkEHiFHQ7qmMpKRdv,Angry
0.637,0.0822,164.069,0.0812,0.00402,0.0,0.532,236898,-5.145,0.445,Courtesy Call,Thousand Foot Krutch,https://open.spotify.com/track/4m5FMVGO6GELhcL0byhQj9,4m5FMVGO6GELhcL0byhQj9,Angry
0.899,0.346,85.019,0.135,0.000546,0.000432,0.431,192176,-2.88,0.553,Misery,Memphis May Fire,https://open.spotify.com/track/6gfUOprNMeD8amncMOSFl0,6gfUOprNMeD8amncMOSFl0,Angry
0.913,0.125,91.012,0.102,7.74e-05,0.000114,0.536,189890,-4.898,0.36,All In My Head,Above Snakes,https://open.spotify.com/track/5hkkcwp36tA1XZWfW4iEAQ,5hkkcwp36tA1XZWfW4iEAQ,Angry
0.941,0.31,156.033,0.0575,0.000526,3.5e-06,0.483,232067,-3.598,0.503,The Resistance,Skillet,https://open.spotify.com/track/5O9Dz0h08LuBi0aVvDcylh,5O9Dz0h08LuBi0aVvDcylh,Angry
0.844,0.117,142.011,0.209,0.28,0.0,0.768,160084,-6.044,0.37,Fed Up,Bazanji,https://open.spotify.com/track/23SOLLrMMW31ebUFfuGNW6,23SOLLrMMW31ebUFfuGNW6,Angry
0.826,0.266,145.983,0.159,0.046,0.0,0.77,239962,-4.615,0.462,You Can't Stop Me,Andy Mineo,https://open.spotify.com/track/0WwrwEmAXGy6keX7noxBYO,0WwrwEmAXGy6keX7noxBYO,Angry
0.937,0.0814,75.034,0.0723,0.00368,0.000116,0.442,217815,-6.693,0.444,Lost in Echoes,Caskets,https://open.spotify.com/track/13YWByXibBltt3T5u3IcT7,13YWByXibBltt3T5u3IcT7,Angry
0.943,0.261,163.128,0.106,0.0138,0.0,0.512,265053,-5.185,0.485,Undead,Hollywood Undead,https://open.spotify.com/track/4U0p10TUdRyhQ06ZqGAtxx,4U0p10TUdRyhQ06ZqGAtxx,Angry
0.946,0.421,99.961,0.102,1.06e-05,1.28e-06,0.454,182000,-3.207,0.27,Blackout,Versus Me,https://open.spotify.com/track/5HcvyLVQgHszX7Fq11s2IW,5HcvyLVQgHszX7Fq11s2IW,Angry
0.966,0.436,125.037,0.0719,0.00101,0.0,0.548,208920,-4.616,0.474,Losing Control,Villain of the Story,https://open.spotify.com/track/10K74dbHDqw7hmtSmLfs7t,10K74dbHDqw7hmtSmLfs7t,Angry
0.743,0.0852,159.988,0.0449,0.00955,5.43e-05,0.658,122775,-6.083,0.813,Pull Up,Tundra,https://open.spotify.com/track/5ATxP74ChBhhQBUNzPByGv,5ATxP74ChBhhQBUNzPByGv,Angry
0.887,0.0657,104.025,0.0323,0.00264,0.000502,0.531,231665,-4.417,0.621,War Of Change,Thousand Foot Krutch,https://open.spotify.com/track/67EfIBpKlV37lSIDOs77AN,67EfIBpKlV37lSIDOs77AN,Angry
0.978,0.141,100.996,0.0838,0.00526,0.000192,0.509,203168,-2.911,0.252,Break Away,Vlad in Tears,https://open.spotify.com/track/6ymPrHNamXK1ZkS9nxM8HM,6ymPrHNamXK1ZkS9nxM8HM,Angry
0.972,0.0817,140.047,0.0764,0.00283,1.12e-06,0.399,190928,-3.409,0.277,House of Glass,ALESTI,https://open.spotify.com/track/4eJNNuBUMdzA3Yn0zrz2Xh,4eJNNuBUMdzA3Yn0zrz2Xh,Angry
