energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,name,artist,track_link,id,mood
0.83,0.139,89.342,0.0421,0.00461,0.0,0.498,231480,-5.157,0.453,I Hate Everything About You,Three Days Grace,https://open.spotify.com/track/0M955bMOoilikPXwKLYpoi,0M955bMOoilikPXwKLYpoi,Angry
0.817,0.0486,109.952,0.0335,0.00272,0.0,0.506,208707,-5.051,0.506,House of Memories,Panic! At The Disco,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ,2DgdHcjWmO3qd50RzuBLgZ,Angry
0.782,0.106,180.068,0.05,0.0766,0.0338,0.73,133333,-3.884,0.593,POPTHATRUNK,1nonly,https://open.spotify.com/track/4BLbZo3DCqQXMzogWV1GNP,4BLbZo3DCqQXMzogWV1GNP,Angry
0.783,0.434,77.011,0.266,0.237,0.0,0.728,173381,-4.424,0.555,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,https://open.spotify.com/track/3CIyK1V4JEJkg02E4EJnDl,3CIyK1V4JEJkg02E4EJnDl,Angry
0.801,0.441,167.077,0.334,0.0287,2.97e-05,0.747,149461,-5.826,0.707,COWBELL WARRIOR!,SXMPRA,https://open.spotify.com/track/3yMrcqveZ2DrWBYJbDsous,3yMrcqveZ2DrWBYJbDsous,Angry
0.821,0.426,93.001,0.0525,0.0208,0.0,0.628,186024,-2.721,0.465,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,https://open.spotify.com/track/7jzldCBnJjpJM3epzJ85KE,7jzldCBnJjpJM3epzJ85KE,Angry
0.86,0.251,100.023,0.0395,0.000158,0.847,0.642,138500,-2.467,0.373,Death Is No More,BLESSED MANE,https://open.spotify.com/track/70FceppUZq9dQz1mDPcHcs,70FceppUZq9dQz1mDPcHcs,Angry
0.925,0.18,108.525,0.185,0.0234,0.00062,0.378,234240,-3.781,0.584,No Good,KALEO,https://open.spotify.com/track/0Tr5G2mE56eLUGvCaXRM8I,0Tr5G2mE56eLUGvCaXRM8I,Angry
0.797,0.234,179.893,0.0577,0.000969,0.841,0.424,272000,-2.321,0.223,Spoiler - Original Mix,Hyper,https://open.spotify.com/track/3BcEpBfEx2mOyCSJWIHSvu,3BcEpBfEx2mOyCSJWIHSvu,Angry
0.549,0.196,101.033,0.065,0.00268,0.792,0.748,233966,-5.447,0.197,Opr,Gesaffelstein,https://open.spotify.com/track/12Ypr3PCVJ2i7Uwz93q1Vl,12Ypr3PCVJ2i7Uwz93q1Vl,Angry
0.73,0.673,139.566,0.107,0.0967,0.000131,0.621,195320,-5.414,0.464,NEW MAGIC WAND,"Tyler, The Creator",https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf,0fv2KH6hac06J86hBUTcSf,Angry
0.836,0.103,148.399,0.0665,0.0651,0.761,0.56,136005,-11.011,0.261,Menace,mikeeysmind,https://open.spotify.com/track/7j2lHwCfEhmqX34QIcAckx,7j2lHwCfEhmqX34QIcAckx,Angry
0.846,0.607,162.043,0.181,0.0135,0.0,0.546,211141,-5.719,0.74,get him back!,Olivia Rodrigo,https://open.spotify.com/track/2gyxAWHebV7xPYVxqoi86f,2gyxAWHebV7xPYVxqoi86f,Angry
0.478,0.096,109.077,0.0366,0.0175,0.000168,0.695,123592,-7.208,0.0385,XO EViL LiF3 (.DEMON.),steve breaux,https://open.spotify.com/track/0oUmiDcH2jBUEgiSnob5JW,0oUmiDcH2jBUEgiSnob5JW,Angry
0.834,0.0875,94.922,0.0358,0.00161,0.0412,0.644,137221,-7.497,0.744,Hate.,ThxSoMch,https://open.spotify.com/track/2XynYulas10Wmef4Gqrxw9,2XynYulas10Wmef4Gqrxw9,Angry
0.615,0.114,135.91,0.0603,0.0198,0.738,0.774,128738,-6.349,0.246,HYPNOTIC DATA,Odetari,https://open.spotify.com/track/1Ll2L0m2QznnoJI9xRN5MP,1Ll2L0m2QznnoJI9xRN5MP,Angry
